*用户名,*产品类别,,*原料成分,,"*主要用途 (可多选,用“|”分隔)",*货品名称,*适用季节,*成份及含量,纱支,密度,*幅宽(cm),克重(g/m²),染整工艺,,*图案一,,*图案二,,货号,颜色,*供货方式,*计量单位,*价格区间,,,,,,可售总量,发货天数,详细描述,信息有效期限,,商品图片
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,1818#弹力丝烧花+S2441,秋季|冬季,56.8％涤纶+37.1％锦纶+6.1％氨纶,30D/12F-20D-75D/36F-100D/36F*30D/12F-20D-75D/36F-100D/36F,,160,190,印染工艺,常规染色,,,,,HM1017300046,,期货,米,1000,66.2,,,,,,,,,,FCEC1017300046.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,1818#弹力丝烧花+S2430,秋季|冬季,56.8％涤纶+37.1％锦纶+6.1％氨纶,30D/12F-20D-75D/36F-100D/36F*30D/12F-20D-75D/36F-100D/36F,,160,190,印染工艺,常规染色,,,,,HM1017300045,,期货,米,1000,66.2,,,,,,,,,,FCEC1017300045.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2741#色织,秋季|冬季,72%涤纶＋28%晴纶,1/9NM-150D/48F-21S*1/9NM-150D/48F-21S,,160,162,印染工艺,常规染色,,,,,HM1017300044,,期货,米,1000,55.66,,,,,,,,,,FCEC1017300044.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,30782#,秋季|冬季,64%腈纶+16%锦纶+20%涤纶,36S-150D/48F*36S-150D/48F,,170,254,印染工艺,常规染色,,,,,HM1017300043,,期货,米,1000,59.06,,,,,,,,,,FCEC1017300043.JPG
chinafabric,染色与整理类,常规染色,化学纤维,腈纶,男装|女装,2735#兔毛单染,秋季|冬季,78.5%晴纶+19%尼龙+2.5%氨纶,36S-40D*36S-40D,,160,230,印染工艺,常规染色,,,,,HM1017300042,,期货,米,1000,66.63,,,,,,,,,,FCEC1017300042.JPG
chinafabric,染色与整理类,常规染色,化学纤维,腈纶,男装|女装,JYY20003#染色,秋季|冬季,90.4％晴纶+7.2％酸性晴纶+2.4％羊毛,36S*36S,,150,335,印染工艺,常规染色,,,,,HM1017300041,,期货,米,1000,71.61,,,,,,,,,,FCEC1017300041.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2722#纳米丝染色,秋季|冬季,100%涤纶,100D/36F*100D/36F,,155,100,印染工艺,常规染色,,,,,HM1017300040,,期货,米,1000,38.91,,,,,,,,,,FCEC1017300040.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2433#超薄雪花绒染色,秋季|冬季,100%涤纶,45S+75D/24F*45S+75D/24F,,160,100,印染工艺,常规染色,,,,,HM1017300039,,期货,米,1000,53.53,,,,,,,,,,FCEC1017300039.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2721-2#雪花绒染色,秋季|冬季,100%涤纶,21S-150D/36F*21S-150D/36F,,160,170,印染工艺,常规染色,,,,,HM1017300038,,期货,米,1000,37.37,,,,,,,,,,FCEC1017300038.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2726#瑞士绒染色磨毛,秋季|冬季,97%涤纶+3%氨纶,200D/96F+120D/72F+50D/24F-40D*200D/96F+120D/72F+50D/24F-40D,,160,220,印染工艺,常规染色,,,,,HM1017300037,,期货,米,1000,42.48,,,,,,,,,,FCEC1017300037.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2677#南韩牛奶丝染色,秋季|冬季,92%涤纶＋8%氨纶,120D/72F-40D*120D/72F-40D,,160,190,印染工艺,常规染色,,,,,HM1017300036,,期货,米,1000,43.93,,,,,,,,,,FCEC1017300036.JPG
chinafabric,染色与整理类,常规染色,化学纤维,涤纶,男装|女装,2#罗马绒染色,秋季|冬季,97%涤纶+3%氨纶,30S+240D/96F-40D*30S+240D/96F-40D,,155,240,印染工艺,常规染色,,,,,HM1017300035,,期货,米,1000,48.27,,,,,,,,,,FCEC1017300035.JPG
chinafabric,染色与整理类,染色+印花,化学纤维,腈纶,男装|女装,S980染色,秋季|冬季,80%晴纶+20%尼龙,36S*36S,,175,145,印染工艺,常规染色,,,,,HM1017300034,,期货,米,1000,63.89,,,,,,,,,,FCEC1017300034.JPG
chinafabric,染色与整理类,染色+印花,化学纤维,涤纶,男装|女装,北极绒-染色-抓毛,秋季|冬季,100%涤纶,200D/96F-75D/36F+300D/96F*200D/96F-75D/36F+300D/96F,,170,270,印染工艺,常规染色,,,,,HM1017300033,,期货,米,1000,42.5,,,,,,,,,,FCEC1017300033.JPG
